user_ptr_id,flight_id
30,AA4519
31,AA168
32,0
33,DL 1358
34,US0509
35,AA1529
36,DL4108
37,AA168
38,DL4005
39,AA168
40,AA1207
41,DL1121
42,DL4108
43,AA168
44,AA168
45,AA168
46,Delta 4108
47,AA3684
48,UA1151
49,JetBlue airways 885
50,DL1144
51,Delta 1705
52,AA3684
53,DL4911
54,UA 1074
55,AA1052
56,AA1207
57,UA1074
58,US Airways Flight 509
59,DELTA 2363
60,jetblue#885
61,DL2363
62,QR5583
63,southwest 3062
64,AA1606
65,UA3708
66,UA1965
67,US Airways 0509
68,JetBlue Flight 2283
69,AA168
70,UA1965
71,Delta 2363
72,AA168
73,3478
74,UA 755
75,DL4192
76,AA1207
77,US 0509
78,US 0509
79,AA4519
80,AA1207
81,AA1529
82,B61185
83,Delta 4005
84,AC7319
85,UA3708
86,AA168
87,NH7566
88,US509
89,DL2363
90,DL2363
91,DL4113
92,DL2809
93,AA1207
94,DL2363
95,DL2363
96,AC7315
97,Air Canada 7315
98,AA168
99,AA168
100,AA168
101,UA 755
102,UA1074
103,NH7566
104,AA1529
105,DL3945
106,AA4167
107,AA4167
108,US0509
109,DL 2363
110,DL1121
111,UA4485
112,AA1266
113,US0168
114,ua4904
115,AA138
116,Air Canada 7319
117,UA1531
118,AA1606
119,AA1052
120,AA168
121,AA168
122,DL6203
123,MH 9423
124,American Airlines Flight 4418
125,AA168
126,B6885
127,US4167
128,United Airlines 0755
129,NH7566
130,Flight 7319
131,Air Canada 7319
132,Air Canada Flight 7319
133,US3785
134,NH7566
135,NH7566
136,Air Canada 7319
137,Air Canada7319
138,US Airways 1160
139,US0509
140,AA4162
141,AA4162
142,AA1052
143,AA1052
144,AA1052
145,AA1052
146,AA1052
147,AA1052
148,AA 1052
149,AA1052
150,AA168
151,AA168
152,AA1207
153,AA1207
154,Air Canada Flight 8282
155,AC7319
156,AA956
157,AA956
158,AA1606
159,AA1606
160,AA1606
161,UA4904
162,AC7319
163,AA1052
164,AA1052
165,US0168
166,AA168
167,AA1207
168,AA1207
169,AA1606
170,UA3708
171,AA509
172,Delta1294
173,AA1606
174,AA1052
175,US509
176,DL2363
177,AA1606
178,UA1542
179,US4046
180,1568
181,AA4167
182,AC7317
183,B61185
184,B61185
185,B61185
186,B61185
187,NH7566
188,AA1207
189,AA1207
190,AA1207
191,AA1207
192,AC7319
193,UA3461
194,UA3461
195,NH7567
196,US509
197,AA1207
198,DL2809
199,DL2809
200,AA1207
201,AC7319
202,NH7566
203,DL4005
204,UA1542
205,UA3569
206,AA4167
207,NH7780
208,Air Canada 7319
209,AC7319
210,Air Canada 7319
211,AA1529
212,AC7320
213,7319 air Canada
214,American Airline 4161
215,AA186
216,DL2363
217,8KF3PQ
218,American Airlines 509
219,DL2363
220,DL6294
221,QR 5583
222,DL 4015
223,B61185
224,AA168
225,DL 4911
226,American Airlines Flight 509
227,DL4108
228,DL 4911
229,1185 jetBlue
230,AA168
231,DL2363
232,DL2363
233,AA1160
234,4585
235,UA414
236,AC7319
237,NH7566
238,DL4005
239,US2011
240,UA4904
241,AA332
242,AA168
243,DL1121
244,AA168
245,AA1052
